Rank,Team,2021 field-goal-attempts-per-game
1,Las Vegas,2.6
2,Cincinnati,2.3
3,Minnesota,2.2
4,Pittsburgh,2.2
4,New England,2.2
6,Baltimore,2.2
7,Arizona,2.1
8,LA Rams,2.1
9,Indianapolis,2.1
10,Dallas,2.0
10,Green Bay,2.0
12,Washington,1.9
12,NY Giants,1.9
14,San Francisco,1.9
15,Kansas City,1.9
16,Tampa Bay,1.8
17,Tennessee,1.8
17,Philadelphia,1.8
19,Miami,1.8
19,Denver,1.8
21,New Orleans,1.8
21,Detroit,1.8
21,Chicago,1.8
24,Atlanta,1.7
24,Carolina,1.7
26,Buffalo,1.7
27,Jacksonville,1.6
27,NY Jets,1.6
27,Houston,1.6
27,LA Chargers,1.6
31,Seattle,1.4
32,Cleveland,1.3
