Rank,Team,2021 opponent-assisted-tackles-per-game
1,NY Jets,17.1
2,New England,19.6
3,Tennessee,19.9
4,Minnesota,20.1
5,Baltimore,20.5
6,Seattle,20.7
7,Detroit,21.0
7,Chicago,21.0
7,Philadelphia,21.0
10,Washington,21.1
11,Buffalo,21.4
12,Cleveland,21.4
13,Arizona,21.6
14,LA Chargers,21.8
15,Jacksonville,21.8
16,Houston,22.1
17,NY Giants,22.4
18,LA Rams,22.5
19,Green Bay,22.5
20,Kansas City,22.7
21,Indianapolis,22.7
22,Miami,22.8
22,Carolina,22.8
24,Pittsburgh,22.8
25,Dallas,23.2
26,Tampa Bay,23.6
27,Cincinnati,23.7
28,Atlanta,23.8
29,Las Vegas,23.9
30,New Orleans,24.0
31,Denver,25.9
32,San Francisco,26.7
