Rank,Team,2021 opp-4th-quarter-points-per-game
1,New England,4.7
2,Tampa Bay,5.0
3,New Orleans,5.1
3,Denver,5.1
5,Arizona,5.1
6,Jacksonville,5.5
7,Tennessee,5.7
8,LA Rams,5.8
9,Dallas,5.8
10,Buffalo,6.0
11,Cincinnati,6.4
12,Pittsburgh,6.4
13,Seattle,6.6
14,San Francisco,6.7
15,Carolina,6.7
16,Philadelphia,6.7
17,Detroit,6.8
18,Kansas City,6.9
19,Minnesota,7.0
20,Green Bay,7.1
21,NY Giants,7.1
22,Washington,7.2
23,Baltimore,7.5
24,Cleveland,7.6
25,Chicago,7.7
26,Miami,8.2
26,Houston,8.2
28,Atlanta,8.5
29,Indianapolis,8.6
30,NY Jets,8.8
31,Las Vegas,9.7
32,LA Chargers,10.2
