Rank,Team,2021 opponent-fumbles-per-game
1,San Francisco,1.8
2,Tampa Bay,1.6
3,Arizona,1.6
4,NY Jets,1.5
4,Carolina,1.5
4,Indianapolis,1.5
7,Houston,1.5
8,Cleveland,1.4
9,Kansas City,1.4
10,Pittsburgh,1.4
11,LA Chargers,1.4
12,Atlanta,1.3
13,Buffalo,1.3
14,Cincinnati,1.2
15,Chicago,1.2
15,Miami,1.2
17,Las Vegas,1.2
17,Tennessee,1.2
19,Seattle,1.1
20,Washington,1.1
21,Green Bay,1.1
22,LA Rams,1.0
23,Detroit,1.0
23,NY Giants,1.0
25,Philadelphia,0.9
26,New Orleans,0.9
27,Minnesota,0.9
28,Dallas,0.8
28,New England,0.8
30,Baltimore,0.8
31,Jacksonville,0.7
31,Denver,0.7
