Rank,Team,2021 opponent-yards-per-pass-attempt
1,Buffalo,5.5
2,Cleveland,6.0
3,Tampa Bay,6.1
4,Green Bay,6.2
5,New England,6.2
6,Las Vegas,6.3
7,NY Giants,6.3
8,Carolina,6.3
9,Miami,6.4
10,Philadelphia,6.4
11,San Francisco,6.4
12,LA Rams,6.4
13,New Orleans,6.5
14,Denver,6.5
15,Dallas,6.6
16,Cincinnati,6.7
17,Indianapolis,6.7
18,Pittsburgh,6.7
19,Tennessee,6.7
20,Arizona,6.7
21,LA Chargers,6.7
22,Chicago,6.8
23,Atlanta,6.8
24,Seattle,6.9
25,Minnesota,6.9
26,Kansas City,6.9
27,Jacksonville,7.1
28,Washington,7.3
29,NY Jets,7.5
30,Houston,7.5
31,Baltimore,7.6
32,Detroit,7.6
