Rank,Team,2021 kickoff-touchback-pct
1,Minnesota,80.85%
2,Dallas,80.18%
3,Denver,79.49%
4,Arizona,73.27%
5,Tampa Bay,71.55%
6,Miami,70.89%
7,Kansas City,66.39%
8,NY Jets,65.75%
9,LA Rams,64.80%
10,LA Chargers,62.00%
10,Philadelphia,62.00%
12,Carolina,60.81%
13,Cincinnati,60.50%
14,Washington,59.49%
15,New Orleans,58.33%
16,Las Vegas,58.06%
17,Buffalo,56.52%
18,Tennessee,55.21%
19,Baltimore,52.22%
20,Indianapolis,49.47%
21,Atlanta,49.30%
22,Chicago,47.89%
23,Houston,47.76%
24,Cleveland,45.95%
25,Pittsburgh,44.57%
26,Green Bay,44.33%
27,Detroit,43.42%
28,San Francisco,42.16%
29,New England,42.06%
30,NY Giants,39.13%
31,Seattle,37.35%
32,Jacksonville,35.48%
