Rank,Team,2021 opponent-net-yards-per-successful-punt
1,Chicago,37.2
2,NY Jets,38.1
3,Pittsburgh,38.6
4,Tennessee,38.8
5,NY Giants,39.0
6,Cincinnati,39.1
7,New England,39.3
8,Baltimore,39.6
9,Buffalo,39.9
10,Detroit,40.0
11,Philadelphia,40.2
12,New Orleans,40.4
13,Houston,40.4
14,Tampa Bay,40.5
15,Jacksonville,40.7
16,Miami,40.8
17,Kansas City,40.8
18,Seattle,41.4
19,LA Rams,41.5
20,Arizona,41.8
21,Dallas,41.9
22,Las Vegas,41.9
23,Carolina,41.9
24,Indianapolis,42.0
25,Cleveland,42.1
26,Minnesota,42.1
27,Green Bay,42.1
28,Atlanta,42.2
29,San Francisco,42.5
30,LA Chargers,42.5
31,Washington,43.3
32,Denver,43.9
