Rank,Team,2021 yards-per-pass-attempt
1,Cincinnati,8.5
2,San Francisco,8.5
3,LA Rams,8.2
4,Seattle,7.7
5,Green Bay,7.6
6,Arizona,7.6
7,Dallas,7.6
8,New England,7.6
9,Kansas City,7.5
10,Las Vegas,7.5
11,LA Chargers,7.4
12,Minnesota,7.4
13,Tampa Bay,7.3
14,Philadelphia,7.2
15,Denver,7.1
16,Buffalo,7.1
17,Tennessee,7.1
18,Baltimore,7.0
19,Cleveland,7.0
20,Atlanta,7.0
21,Indianapolis,6.9
22,New Orleans,6.8
23,Washington,6.8
24,Chicago,6.7
25,Houston,6.6
26,NY Jets,6.6
27,Detroit,6.5
28,Miami,6.4
29,Jacksonville,6.1
30,Pittsburgh,6.0
31,Carolina,6.0
32,NY Giants,5.8
