Rank,Team,2021 net-punt-yards-per-game
1,Houston,216.1
2,New Orleans,205.0
3,Seattle,203.6
4,Minnesota,189.7
5,Miami,183.9
6,Jacksonville,183.4
7,Pittsburgh,180.3
8,Dallas,175.4
9,NY Jets,173.4
10,NY Giants,172.1
11,Carolina,168.9
12,Denver,168.8
13,Baltimore,167.1
14,Detroit,161.8
15,Cincinnati,159.7
16,Atlanta,156.6
17,Las Vegas,155.2
18,Washington,153.0
19,Cleveland,150.8
20,Tampa Bay,148.4
21,San Francisco,148.3
22,Chicago,140.6
23,Indianapolis,137.6
24,Tennessee,137.4
25,LA Rams,133.3
26,Arizona,133.2
27,Philadelphia,131.7
28,Green Bay,129.6
29,New England,119.2
30,Buffalo,111.0
31,Kansas City,105.2
32,LA Chargers,103.2
