Rank,Team,2021 average-time-of-possession-net-of-ot
1,Green Bay,32:37
2,Tennessee,32:18
3,Baltimore,32:12
4,Indianapolis,31:54
5,Buffalo,31:24
6,Arizona,30:51
7,Kansas City,30:50
8,Denver,30:48
9,Cleveland,30:48
10,Washington,30:43
11,Carolina,30:43
12,Cincinnati,30:42
13,New Orleans,30:37
14,New England,30:24
15,Chicago,30:19
16,Miami,30:18
17,San Francisco,30:17
18,Tampa Bay,30:11
19,Dallas,30:07
20,LA Rams,29:58
21,Philadelphia,29:45
22,Las Vegas,29:35
23,LA Chargers,29:21
24,Pittsburgh,29:20
25,Minnesota,29:07
26,Detroit,28:50
27,NY Giants,28:24
28,Houston,28:14
29,Atlanta,28:09
30,NY Jets,27:31
31,Jacksonville,27:21
32,Seattle,25:17
