Rank,Team,2021 passing-play-pct
1,Tampa Bay,66.46%
2,Pittsburgh,63.44%
3,NY Jets,63.32%
4,Las Vegas,62.88%
5,LA Chargers,62.50%
6,Kansas City,62.36%
7,Jacksonville,61.87%
8,Atlanta,60.93%
9,NY Giants,60.10%
10,Miami,59.71%
11,Dallas,59.61%
12,Detroit,59.56%
13,Cincinnati,59.48%
14,LA Rams,59.31%
15,Buffalo,59.21%
16,Carolina,58.86%
17,Green Bay,58.61%
18,Minnesota,58.54%
19,Houston,58.42%
20,Seattle,56.71%
21,Arizona,56.44%
22,Baltimore,56.37%
23,Denver,56.08%
24,Chicago,55.81%
25,Washington,55.42%
26,New England,54.27%
27,Cleveland,53.98%
28,Indianapolis,52.57%
29,San Francisco,51.61%
30,New Orleans,51.47%
31,Tennessee,51.22%
32,Philadelphia,50.13%
