Rank,Team,2021 penalties-per-game
1,Green Bay,4.1
2,LA Rams,4.3
3,Cincinnati,4.4
4,Indianapolis,4.5
5,Washington,4.8
6,Denver,4.9
7,NY Giants,5.2
8,Atlanta,5.4
9,Tampa Bay,5.5
10,New England,5.6
11,Seattle,5.7
12,New Orleans,5.8
13,Tennessee,5.8
14,Kansas City,5.9
15,Baltimore,6.0
16,NY Jets,6.1
17,San Francisco,6.1
18,Pittsburgh,6.1
19,Jacksonville,6.1
20,Philadelphia,6.2
21,Detroit,6.2
21,Miami,6.2
23,Chicago,6.2
24,Buffalo,6.3
25,Carolina,6.3
26,Minnesota,6.5
27,Cleveland,6.6
28,Houston,6.7
29,Arizona,6.7
30,LA Chargers,6.8
31,Las Vegas,7.3
32,Dallas,7.8
