Rank,Team,2021 opponent-passing-first-downs-per-game
1,Buffalo,9.1
2,Chicago,10.0
2,Carolina,10.0
4,New England,10.5
5,Cleveland,10.8
6,San Francisco,10.9
7,New Orleans,10.9
8,Dallas,11.2
8,Green Bay,11.2
10,Arizona,11.3
11,Denver,11.3
12,Pittsburgh,11.4
13,Jacksonville,11.6
14,Miami,11.7
14,LA Chargers,11.7
16,Las Vegas,12.0
17,Tennessee,12.1
18,LA Rams,12.3
19,Philadelphia,12.3
20,Detroit,12.4
21,Kansas City,12.5
22,Indianapolis,12.5
23,Atlanta,12.6
24,Tampa Bay,12.7
25,NY Giants,12.7
26,Cincinnati,12.8
27,Houston,12.8
28,Washington,12.9
29,Minnesota,13.2
30,Baltimore,13.6
31,NY Jets,13.8
32,Seattle,14.1
