Rank,Team,2021 passing-yards-per-game
1,Tampa Bay,304.2
2,Kansas City,288.5
3,LA Chargers,282.4
4,Dallas,279.4
5,LA Rams,277.5
6,Las Vegas,269.4
7,Buffalo,258.2
8,Cincinnati,256.0
9,Green Bay,250.6
10,Minnesota,249.3
11,Arizona,244.3
12,San Francisco,236.6
13,Baltimore,233.0
14,New England,226.3
15,Pittsburgh,221.1
16,Atlanta,218.4
17,Miami,214.8
18,Detroit,211.6
19,Denver,211.4
20,NY Jets,208.3
21,Philadelphia,202.7
22,Washington,202.4
23,Jacksonville,202.1
24,Seattle,201.9
25,Tennessee,201.7
26,Indianapolis,197.7
27,Cleveland,195.3
28,Houston,194.4
29,Carolina,190.5
30,Chicago,188.6
31,NY Giants,188.0
32,New Orleans,187.4
