Rank,Team,2021 net-yards-per-punt-attempt
1,Dallas,45.1
2,Jacksonville,43.3
3,Denver,42.8
4,Las Vegas,42.3
5,Detroit,42.3
6,Kansas City,42.1
7,Arizona,42.1
8,New Orleans,42.0
9,LA Rams,41.8
10,Houston,41.7
11,Seattle,41.7
12,NY Jets,41.5
13,Washington,41.3
14,Cincinnati,40.9
15,Minnesota,40.8
16,San Francisco,40.6
17,Atlanta,40.3
18,Miami,40.1
19,Baltimore,40.0
20,Tennessee,39.9
21,Indianapolis,39.7
22,NY Giants,39.5
23,Green Bay,39.5
24,New England,39.0
25,Philadelphia,38.9
26,Pittsburgh,38.6
27,Tampa Bay,38.6
28,Chicago,38.5
29,Carolina,38.3
30,Cleveland,38.3
31,Buffalo,37.0
32,LA Chargers,36.5
