Rank,Team,2021 opponent-other-touchdowns-per-game
1,Tennessee,0.0
2,San Francisco,0.1
3,Buffalo,0.1
4,Philadelphia,0.1
5,NY Jets,0.1
5,Miami,0.1
5,Cleveland,0.1
5,Houston,0.1
5,Seattle,0.1
5,Indianapolis,0.1
11,Tampa Bay,0.1
12,Dallas,0.1
12,Pittsburgh,0.1
12,Green Bay,0.1
15,Detroit,0.1
15,Chicago,0.1
15,Minnesota,0.1
18,Cincinnati,0.1
19,Kansas City,0.2
20,Arizona,0.2
21,Washington,0.2
21,New Orleans,0.2
21,Carolina,0.2
21,LA Chargers,0.2
21,NY Giants,0.2
26,Las Vegas,0.2
27,Baltimore,0.2
28,LA Rams,0.2
29,New England,0.3
30,Atlanta,0.3
30,Denver,0.3
32,Jacksonville,0.4
