Rank,Team,2021 opponent-penalty-yards-per-penalty
1,Las Vegas,10.2
2,NY Jets,9.7
3,Seattle,9.6
4,Detroit,9.4
5,Chicago,9.2
6,Miami,9.1
7,Tennessee,9.0
7,Baltimore,9.0
9,Indianapolis,9.0
10,Cleveland,8.9
11,Philadelphia,8.9
12,Arizona,8.9
13,Houston,8.9
14,Denver,8.9
15,New Orleans,8.6
16,New England,8.5
17,Jacksonville,8.5
18,Minnesota,8.5
19,LA Chargers,8.4
20,Washington,8.4
21,Tampa Bay,8.3
22,Carolina,8.3
23,Pittsburgh,8.3
24,Buffalo,8.2
25,Green Bay,8.2
26,LA Rams,8.1
27,Atlanta,8.1
28,San Francisco,8.0
29,Cincinnati,8.0
30,Dallas,7.9
31,Kansas City,7.9
32,NY Giants,7.6
