Rank,Team,2021 opponent-defensive-points-per-game
1,Tennessee,0.0
1,Green Bay,0.0
1,Minnesota,0.0
4,San Francisco,0.1
5,Buffalo,0.1
6,NY Jets,0.4
6,Cleveland,0.4
6,Houston,0.4
6,Seattle,0.4
6,Indianapolis,0.4
11,Philadelphia,0.5
12,Miami,0.5
13,Tampa Bay,0.7
14,Dallas,0.8
14,Pittsburgh,0.8
16,Washington,0.8
16,Detroit,0.8
16,Chicago,0.8
16,Jacksonville,0.8
20,Carolina,0.9
21,Arizona,1.0
21,Cincinnati,1.0
23,Kansas City,1.1
24,Las Vegas,1.2
25,Atlanta,1.2
25,New Orleans,1.2
25,Denver,1.2
25,LA Chargers,1.2
25,Baltimore,1.2
30,NY Giants,1.4
31,New England,1.6
32,LA Rams,1.7
