Rank,Team,2021 opponent-plays-per-game
1,Chicago,59.4
2,Arizona,60.3
3,Buffalo,60.4
4,Carolina,60.5
5,Green Bay,60.5
6,New England,60.7
7,Baltimore,60.8
8,Denver,61.1
9,Tennessee,61.3
10,San Francisco,61.6
11,Indianapolis,61.8
12,Cleveland,62.1
13,New Orleans,62.6
14,Washington,62.6
15,Kansas City,62.8
16,Jacksonville,62.8
17,Cincinnati,63.4
18,Miami,63.6
19,Dallas,63.6
20,Philadelphia,63.8
21,Detroit,64.2
22,Tampa Bay,64.5
23,LA Rams,64.5
24,Las Vegas,64.7
25,Houston,64.8
26,LA Chargers,64.9
27,Atlanta,65.5
28,Pittsburgh,65.6
29,NY Giants,66.9
30,NY Jets,67.4
31,Minnesota,67.8
32,Seattle,70.6
