Rank,Team,2021 opponent-average-team-passer-rating
1,Buffalo,70.1
2,Dallas,76.2
3,New England,78.5
4,New Orleans,81.7
5,LA Rams,82.4
6,Denver,85.0
7,Miami,85.4
8,Tampa Bay,85.9
9,Green Bay,86.0
10,Tennessee,86.8
11,NY Giants,89.0
12,Cleveland,89.4
13,Cincinnati,89.9
14,Indianapolis,90.5
15,Minnesota,91.4
16,Pittsburgh,92.6
17,LA Chargers,93.0
18,Seattle,93.6
19,Kansas City,94.0
20,Houston,94.1
21,Carolina,95.0
22,San Francisco,95.0
23,Arizona,95.6
24,Philadelphia,96.6
25,Las Vegas,97.1
26,Atlanta,97.4
27,Baltimore,99.4
28,Washington,100.8
29,Jacksonville,100.8
30,Detroit,101.0
31,NY Jets,103.2
32,Chicago,103.3
