Rank,Team,2021 opponent-punts-per-play
1,Baltimore,0.08
2,New Orleans,0.08
3,Carolina,0.07
4,Buffalo,0.07
5,Pittsburgh,0.07
6,Miami,0.07
7,Cincinnati,0.07
8,Cleveland,0.07
9,San Francisco,0.07
10,Dallas,0.07
11,Tampa Bay,0.07
12,Tennessee,0.07
13,Chicago,0.06
14,Philadelphia,0.06
15,LA Rams,0.06
16,Las Vegas,0.06
17,Jacksonville,0.06
18,Washington,0.06
19,Indianapolis,0.06
20,NY Giants,0.06
21,Arizona,0.06
22,Denver,0.06
23,Green Bay,0.06
24,Seattle,0.06
25,Minnesota,0.06
26,Kansas City,0.05
27,Houston,0.05
28,NY Jets,0.05
29,New England,0.05
30,Atlanta,0.05
31,Detroit,0.04
32,LA Chargers,0.04
