Rank,Team,2021 opponent-field-goals-made-per-game
1,Green Bay,1.2
2,Kansas City,1.2
3,New England,1.2
3,Philadelphia,1.2
5,Baltimore,1.2
6,San Francisco,1.3
7,Indianapolis,1.3
8,Buffalo,1.3
9,Arizona,1.4
10,Denver,1.4
11,Cincinnati,1.4
12,Atlanta,1.5
12,Cleveland,1.5
14,Tampa Bay,1.6
15,Washington,1.6
15,Chicago,1.6
15,Seattle,1.6
18,Houston,1.6
19,LA Rams,1.7
20,Las Vegas,1.7
21,Dallas,1.8
22,New Orleans,1.8
22,Miami,1.8
24,Jacksonville,1.9
24,Carolina,1.9
24,LA Chargers,1.9
27,Pittsburgh,1.9
28,Tennessee,1.9
29,NY Giants,2.0
29,Minnesota,2.0
31,Detroit,2.1
31,NY Jets,2.1
