Rank,Team,2021 sacks-per-game
1,Pittsburgh,3.2
2,San Francisco,3.0
2,Minnesota,3.0
4,LA Rams,3.0
5,Tennessee,2.9
6,Chicago,2.9
7,Miami,2.8
8,New Orleans,2.7
9,Tampa Bay,2.7
10,Cleveland,2.5
11,Cincinnati,2.5
12,Buffalo,2.5
13,Green Bay,2.4
14,Arizona,2.3
15,Carolina,2.3
16,Dallas,2.3
17,Washington,2.2
18,Denver,2.1
19,LA Chargers,2.1
20,Las Vegas,2.1
21,New England,2.0
21,NY Giants,2.0
21,Baltimore,2.0
21,Seattle,2.0
25,NY Jets,1.9
25,Indianapolis,1.9
27,Jacksonville,1.9
27,Houston,1.9
29,Philadelphia,1.8
30,Kansas City,1.8
31,Detroit,1.8
32,Atlanta,1.1
