Rank,Team,2021 assisted-tackles-per-game
1,NY Giants,28.9
2,Philadelphia,28.7
3,Seattle,27.8
4,Atlanta,26.2
5,Minnesota,24.9
6,Las Vegas,24.7
7,LA Rams,24.4
8,NY Jets,24.3
9,Houston,24.1
10,Detroit,23.6
11,Jacksonville,23.5
12,LA Chargers,23.2
13,Washington,23.1
14,Miami,22.4
15,San Francisco,22.3
16,Cincinnati,22.1
17,Carolina,21.9
18,Denver,21.3
19,Pittsburgh,21.3
20,Kansas City,21.3
21,Cleveland,21.0
22,New England,20.9
23,Chicago,20.8
24,New Orleans,20.4
25,Arizona,20.2
26,Dallas,20.1
27,Baltimore,19.6
28,Tennessee,18.7
29,Indianapolis,18.1
30,Buffalo,17.6
31,Tampa Bay,17.2
32,Green Bay,16.3
