Rank,Team,2019 safeties-per-game
1,Dallas,0.0
1,Atlanta,0.0
1,Washington,0.0
1,Pittsburgh,0.0
1,Las Vegas,0.0
1,Detroit,0.0
1,Jacksonville,0.0
1,San Francisco,0.0
1,Cleveland,0.0
1,Houston,0.0
1,Tampa Bay,0.0
1,Arizona,0.0
1,Kansas City,0.0
1,Denver,0.0
1,LA Chargers,0.0
1,Green Bay,0.0
1,Seattle,0.0
1,Philadelphia,0.0
19,Tennessee,0.1
20,Minnesota,0.1
21,New Orleans,0.1
21,New England,0.1
21,Buffalo,0.1
21,Baltimore,0.1
25,Chicago,0.1
25,Miami,0.1
25,NY Giants,0.1
25,LA Rams,0.1
25,Cincinnati,0.1
30,NY Jets,0.1
30,Carolina,0.1
30,Indianapolis,0.1
