Rank,Team,2019 completions-per-game
1,Atlanta,28.7
2,New Orleans,26.2
3,LA Rams,24.8
4,LA Chargers,24.6
5,Dallas,24.3
6,Philadelphia,24.1
7,Tampa Bay,23.9
7,Carolina,23.9
9,Kansas City,23.7
10,NY Giants,23.5
11,New England,23.4
12,Chicago,23.2
12,Miami,23.2
14,Las Vegas,22.9
15,Jacksonville,22.8
16,Houston,22.6
17,Green Bay,22.4
18,Cincinnati,22.3
19,Arizona,22.2
20,Detroit,21.5
21,Seattle,21.1
22,NY Jets,20.2
23,Minnesota,19.9
24,Cleveland,19.9
25,Pittsburgh,19.7
26,Denver,19.5
27,San Francisco,19.4
28,Indianapolis,19.2
29,Buffalo,19.1
30,Baltimore,18.8
31,Washington,18.6
32,Tennessee,17.7
