Rank,Team,2019 punts-per-offensive-score
1,Baltimore,0.4
2,Kansas City,0.6
3,San Francisco,0.6
4,Dallas,0.6
5,Tampa Bay,0.7
6,Atlanta,0.7
7,New Orleans,0.7
8,LA Chargers,0.8
9,Houston,0.9
10,Minnesota,0.9
11,Indianapolis,0.9
12,LA Rams,1.0
13,Arizona,1.0
14,Seattle,1.0
15,Cleveland,1.0
16,Philadelphia,1.0
17,New England,1.1
18,Green Bay,1.2
19,Detroit,1.2
20,Carolina,1.2
21,Las Vegas,1.2
22,Jacksonville,1.2
23,Miami,1.2
24,NY Giants,1.3
25,Tennessee,1.3
26,Pittsburgh,1.3
27,Buffalo,1.4
28,Cincinnati,1.4
29,Denver,1.4
30,Washington,1.5
31,Chicago,1.5
32,NY Jets,1.7
