Rank,Team,2019 opponent-average-team-passer-rating
1,New England,62.8
2,Baltimore,79.1
3,Pittsburgh,79.7
4,Buffalo,80.7
5,Green Bay,82.8
6,Kansas City,82.8
7,San Francisco,83.7
8,Chicago,85.2
9,Minnesota,86.4
10,Seattle,86.7
11,LA Rams,86.8
12,NY Jets,88.0
13,Carolina,88.0
14,Tennessee,88.1
15,New Orleans,88.7
16,Cleveland,89.0
17,Denver,89.8
18,Tampa Bay,90.0
19,Philadelphia,91.7
20,Dallas,91.9
21,Jacksonville,93.9
22,Cincinnati,95.4
23,LA Chargers,96.7
24,Atlanta,96.9
25,Indianapolis,98.0
26,Houston,98.4
27,Detroit,99.6
28,NY Giants,101.4
29,Miami,101.9
30,Washington,102.5
31,Las Vegas,103.8
32,Arizona,109.9
