Rank,Team,2019 opponent-rushing-attempts-per-game
1,Baltimore,22.2
2,Philadelphia,22.3
3,Tampa Bay,22.6
4,New Orleans,22.6
5,New England,23.8
6,Indianapolis,23.9
7,San Francisco,24.0
8,Seattle,24.7
9,Buffalo,24.8
10,Houston,25.2
11,Las Vegas,25.3
12,Kansas City,25.4
13,Dallas,25.4
14,Chicago,25.9
15,Tennessee,25.9
16,Minnesota,26.0
17,NY Jets,26.1
18,Atlanta,26.3
19,Green Bay,26.5
20,Denver,26.6
21,LA Chargers,26.8
22,Jacksonville,27.2
23,Arizona,27.4
24,LA Rams,27.8
25,Carolina,27.8
26,Detroit,28.4
27,Pittsburgh,28.9
28,Cleveland,28.9
29,NY Giants,29.3
30,Miami,30.3
31,Washington,30.8
32,Cincinnati,31.5
