Rank,Team,2019 2nd-half-points-per-game
1,Tennessee,14.9
2,Baltimore,14.7
3,San Francisco,14.3
4,Dallas,14.3
5,New Orleans,14.1
6,Atlanta,13.6
7,Houston,13.4
8,Seattle,13.1
9,Kansas City,12.7
10,Philadelphia,12.5
11,LA Rams,12.3
12,New England,12.1
13,Green Bay,11.8
14,Arizona,11.6
15,Carolina,11.5
16,Tampa Bay,11.4
17,Jacksonville,11.3
18,Minnesota,10.6
19,Indianapolis,10.5
20,Chicago,10.2
20,LA Chargers,10.2
22,Buffalo,10.0
23,NY Giants,9.3
24,Cleveland,9.3
25,Pittsburgh,9.1
26,Detroit,9.0
27,NY Jets,8.6
28,Washington,8.4
29,Miami,8.4
30,Cincinnati,7.9
31,Las Vegas,7.2
32,Denver,6.8
