Rank,Team,2019 gross-passing-yards-per-game
1,Tampa Bay,320.4
2,Atlanta,315.6
3,Dallas,306.4
4,Kansas City,294.3
5,LA Rams,291.8
6,LA Chargers,290.5
7,New Orleans,275.8
8,Houston,262.1
9,Seattle,261.8
10,Detroit,261.7
11,Carolina,258.4
12,Miami,257.3
13,Las Vegas,256.9
14,New England,256.6
15,Green Bay,254.8
16,NY Giants,254.4
17,Jacksonville,251.4
18,Cincinnati,249.6
19,Philadelphia,249.4
20,Cleveland,240.4
21,Arizona,237.3
22,San Francisco,234.5
23,Minnesota,230.2
24,Tennessee,229.5
25,Chicago,223.3
26,Buffalo,220.9
27,Baltimore,218.5
28,NY Jets,215.2
29,Denver,212.6
30,Indianapolis,207.1
31,Pittsburgh,200.9
32,Washington,200.3
