Rank,Team,2019 opponent-yards-per-rush-attempt
1,Tampa Bay,3.3
2,NY Jets,3.3
3,Pittsburgh,3.8
4,NY Giants,3.9
5,Las Vegas,3.9
6,Chicago,3.9
7,Philadelphia,4.0
8,Dallas,4.1
9,LA Rams,4.1
10,Detroit,4.1
11,Indianapolis,4.1
12,New Orleans,4.1
13,Denver,4.2
14,Tennessee,4.2
15,LA Chargers,4.2
16,Atlanta,4.2
17,Buffalo,4.3
18,New England,4.3
19,Minnesota,4.3
20,Arizona,4.4
21,San Francisco,4.4
22,Miami,4.5
23,Baltimore,4.5
24,Cincinnati,4.7
25,Washington,4.7
26,Seattle,4.8
27,Green Bay,4.9
28,Houston,4.9
29,Kansas City,4.9
30,Cleveland,5.0
31,Jacksonville,5.1
32,Carolina,5.2
