Rank,Team,2019 opponent-defensive-touchdowns-per-game
1,Dallas,0.0
1,New Orleans,0.0
1,Chicago,0.0
1,Tennessee,0.0
1,Green Bay,0.0
1,Baltimore,0.0
1,Philadelphia,0.0
1,Minnesota,0.0
9,Kansas City,0.1
10,Houston,0.1
11,Buffalo,0.1
12,Denver,0.1
12,Carolina,0.1
14,Pittsburgh,0.1
14,Detroit,0.1
14,Jacksonville,0.1
14,NY Jets,0.1
14,Miami,0.1
14,Cleveland,0.1
20,San Francisco,0.2
21,Washington,0.2
21,Las Vegas,0.2
21,Arizona,0.2
21,LA Chargers,0.2
21,Indianapolis,0.2
26,Atlanta,0.3
26,NY Giants,0.3
26,LA Rams,0.3
29,Seattle,0.3
30,Cincinnati,0.3
31,New England,0.4
32,Tampa Bay,0.4
