Rank,Team,2019 sacks-per-game
1,Pittsburgh,3.4
2,Carolina,3.3
3,San Francisco,3.2
4,New Orleans,3.2
5,LA Rams,3.1
6,Buffalo,3.0
7,Minnesota,2.9
8,Jacksonville,2.9
8,Tampa Bay,2.9
10,Washington,2.9
11,Kansas City,2.8
12,New England,2.8
13,Green Bay,2.6
14,Philadelphia,2.6
15,Tennessee,2.6
16,Indianapolis,2.6
17,Arizona,2.5
17,Denver,2.5
19,Dallas,2.4
20,Cleveland,2.4
21,NY Giants,2.3
22,Baltimore,2.2
23,NY Jets,2.2
24,Seattle,2.1
25,Las Vegas,2.0
25,Chicago,2.0
27,Houston,1.9
28,Cincinnati,1.9
29,LA Chargers,1.9
30,Atlanta,1.8
30,Detroit,1.8
32,Miami,1.4
