Rank,Team,2019 extra-points-made-per-game
1,Baltimore,3.4
2,Kansas City,3.2
3,Tennessee,3.1
4,San Francisco,3.1
5,New Orleans,2.9
6,Dallas,2.9
7,Tampa Bay,2.7
8,LA Rams,2.6
9,Green Bay,2.6
10,Houston,2.4
10,Seattle,2.4
12,Minnesota,2.4
13,New England,2.4
14,Detroit,2.2
14,LA Chargers,2.2
14,NY Giants,2.2
17,Las Vegas,2.1
17,Arizona,2.1
19,Indianapolis,2.1
20,Philadelphia,2.1
21,Carolina,1.9
22,Cleveland,1.9
23,Buffalo,1.8
24,Atlanta,1.8
24,Miami,1.8
26,Pittsburgh,1.8
27,Chicago,1.7
28,Denver,1.6
29,Cincinnati,1.5
30,NY Jets,1.4
31,Washington,1.3
32,Jacksonville,1.2
