Rank,Team,2019 penalty-first-downs-per-game
1,Las Vegas,1.1
2,New Orleans,1.2
3,Washington,1.3
4,Carolina,1.4
5,Baltimore,1.6
6,Tampa Bay,1.8
6,LA Rams,1.8
8,Seattle,1.8
9,San Francisco,1.8
10,Arizona,1.8
11,Houston,1.8
12,Dallas,1.9
12,Jacksonville,1.9
12,NY Jets,1.9
15,New England,1.9
15,Buffalo,1.9
17,Chicago,2.1
18,Tennessee,2.2
19,Detroit,2.2
19,Cleveland,2.2
19,NY Giants,2.2
22,Minnesota,2.2
23,Cincinnati,2.3
24,Philadelphia,2.3
25,LA Chargers,2.4
26,Green Bay,2.4
27,Denver,2.5
28,Atlanta,2.6
28,Miami,2.6
30,Pittsburgh,2.7
31,Indianapolis,2.8
32,Kansas City,2.8
