Rank,Team,2019 opponent-touchbacks-per-game
1,Kansas City,1.8
2,New England,1.9
3,Chicago,2.0
3,Buffalo,2.0
5,New Orleans,2.5
6,Baltimore,2.6
7,Pittsburgh,2.6
8,Green Bay,2.7
9,Tennessee,2.7
10,NY Jets,2.7
10,LA Chargers,2.7
10,NY Giants,2.7
13,San Francisco,2.7
14,Cleveland,2.8
15,Cincinnati,2.9
16,Philadelphia,2.9
17,Las Vegas,3.2
18,Indianapolis,3.3
19,Dallas,3.4
19,Arizona,3.4
21,Minnesota,3.4
22,Washington,3.4
22,Denver,3.4
24,Jacksonville,3.5
24,Seattle,3.5
26,LA Rams,3.6
27,Atlanta,3.8
28,Detroit,4.0
28,Miami,4.0
28,Houston,4.0
31,Carolina,4.1
32,Tampa Bay,4.3
