Rank,Team,2019 rushing-first-downs-per-game
1,Baltimore,11.6
2,Indianapolis,8.2
3,Buffalo,7.6
4,San Francisco,7.5
5,Dallas,7.5
6,Seattle,7.4
7,Tennessee,6.8
8,New England,6.8
9,Arizona,6.8
10,Houston,6.7
11,Philadelphia,6.5
12,Kansas City,6.5
13,Las Vegas,6.5
14,Minnesota,6.4
15,New Orleans,6.1
16,LA Rams,5.8
17,Cleveland,5.6
17,LA Chargers,5.6
19,Green Bay,5.6
20,NY Giants,5.6
21,Chicago,5.3
21,Jacksonville,5.3
21,Cincinnati,5.3
24,Atlanta,5.3
25,Detroit,5.1
25,Carolina,5.1
27,Tampa Bay,5.1
28,Denver,4.8
29,Pittsburgh,4.7
30,Washington,4.6
31,Miami,4.0
32,NY Jets,3.8
