Rank,Team,2019 opponent-rushing-touchdowns-per-game
1,Pittsburgh,0.4
2,New England,0.5
3,Indianapolis,0.5
4,Arizona,0.6
4,Denver,0.6
6,Minnesota,0.6
7,Tampa Bay,0.7
8,San Francisco,0.7
9,NY Jets,0.8
10,Buffalo,0.8
10,Baltimore,0.8
12,Houston,0.8
13,Atlanta,0.8
13,Detroit,0.8
15,New Orleans,0.8
15,Philadelphia,0.8
17,Dallas,0.9
17,Washington,0.9
19,Tennessee,0.9
19,Kansas City,0.9
21,Las Vegas,0.9
21,Miami,0.9
21,LA Chargers,0.9
21,LA Rams,0.9
25,Chicago,1.0
26,Cincinnati,1.1
27,Green Bay,1.2
28,Cleveland,1.2
28,NY Giants,1.2
30,Seattle,1.3
31,Jacksonville,1.4
32,Carolina,1.9
