Rank,Team,2019 opponent-penalties-per-game
1,Atlanta,7.9
2,Cincinnati,7.6
3,Tennessee,7.6
4,Denver,7.6
5,Philadelphia,7.4
6,Detroit,7.3
6,NY Giants,7.3
8,Pittsburgh,7.2
9,Kansas City,7.2
10,Arizona,7.1
11,Chicago,7.1
12,Miami,6.9
12,Tampa Bay,6.9
12,Indianapolis,6.9
15,Carolina,6.8
16,LA Chargers,6.8
17,NY Jets,6.7
17,Cleveland,6.7
19,San Francisco,6.7
20,Houston,6.7
21,New England,6.6
22,LA Rams,6.6
23,Dallas,6.4
23,Jacksonville,6.4
25,Baltimore,6.0
26,Seattle,5.9
27,Washington,5.9
28,Green Bay,5.8
29,Buffalo,5.8
30,Las Vegas,5.7
31,New Orleans,5.6
32,Minnesota,5.2
