Rank,Team,2019 opponent-penalties-per-play
1,Denver,0.06
2,Atlanta,0.06
3,Tennessee,0.06
4,Cincinnati,0.06
5,Pittsburgh,0.06
6,Philadelphia,0.06
7,Kansas City,0.06
8,NY Giants,0.06
9,LA Chargers,0.06
10,Chicago,0.06
11,Indianapolis,0.06
12,Detroit,0.06
13,Arizona,0.05
14,San Francisco,0.05
15,Cleveland,0.05
16,NY Jets,0.05
17,Miami,0.05
18,New England,0.05
19,Houston,0.05
20,Carolina,0.05
21,Tampa Bay,0.05
22,Jacksonville,0.05
23,LA Rams,0.05
24,Dallas,0.05
25,Baltimore,0.05
26,Washington,0.05
27,Green Bay,0.05
28,Las Vegas,0.05
29,Seattle,0.05
30,Buffalo,0.05
31,New Orleans,0.04
32,Minnesota,0.04
