Rank,Team,2019 kickoffs-per-game
1,Baltimore,6.4
2,Kansas City,6.3
3,San Francisco,6.2
4,Tampa Bay,6.1
5,New Orleans,5.9
6,Dallas,5.8
7,New England,5.6
8,Atlanta,5.4
9,Minnesota,5.3
10,LA Rams,5.3
11,Seattle,5.2
12,Arizona,5.2
13,Houston,5.1
14,Detroit,5.0
14,Philadelphia,5.0
16,Cleveland,4.9
16,Indianapolis,4.9
18,Green Bay,4.9
19,Tennessee,4.8
20,Buffalo,4.8
21,Jacksonville,4.8
21,Carolina,4.8
23,Pittsburgh,4.7
23,LA Chargers,4.7
25,Miami,4.6
26,Denver,4.5
26,NY Giants,4.5
28,Las Vegas,4.4
28,Cincinnati,4.4
30,Washington,4.3
30,NY Jets,4.3
32,Chicago,4.2
