Rank,Team,2019 opponent-passing-touchdown-pct
1,Carolina,37.50%
2,Seattle,41.18%
3,Jacksonville,46.81%
4,Green Bay,48.78%
5,New England,50.00%
5,Buffalo,50.00%
7,Chicago,51.52%
8,LA Chargers,52.50%
9,Cincinnati,53.19%
10,Cleveland,54.35%
11,Baltimore,54.55%
12,LA Rams,54.76%
13,NY Giants,55.56%
14,Kansas City,57.78%
15,Dallas,60.00%
16,Denver,61.29%
17,Atlanta,62.22%
17,San Francisco,62.22%
19,Tampa Bay,62.50%
20,Tennessee,63.04%
21,NY Jets,64.10%
22,Las Vegas,64.71%
23,New Orleans,65.12%
23,Philadelphia,65.12%
25,Washington,67.31%
26,Detroit,67.35%
27,Miami,68.42%
28,Minnesota,69.44%
29,Indianapolis,70.73%
30,Pittsburgh,71.88%
31,Houston,72.22%
32,Arizona,73.08%
