Rank,Team,2019 opponent-field-goal-attempts-per-game
1,New England,1.1
2,San Francisco,1.2
3,New Orleans,1.5
4,Las Vegas,1.6
5,Tennessee,1.6
5,Kansas City,1.6
7,Buffalo,1.6
8,Jacksonville,1.7
9,Philadelphia,1.7
10,Houston,1.7
11,Baltimore,1.8
12,Washington,1.9
12,Chicago,1.9
12,LA Rams,1.9
15,Pittsburgh,1.9
15,Indianapolis,1.9
17,Dallas,2.0
17,Cleveland,2.0
17,Arizona,2.0
17,NY Giants,2.0
21,Green Bay,2.1
22,LA Chargers,2.1
23,Seattle,2.1
23,Minnesota,2.1
25,Atlanta,2.1
25,Detroit,2.1
25,NY Jets,2.1
25,Cincinnati,2.1
29,Carolina,2.2
30,Miami,2.4
31,Denver,2.4
32,Tampa Bay,2.7
