Rank,Team,2019 plays-per-game
1,Philadelphia,68.5
2,Atlanta,68.5
3,Baltimore,68.0
4,New England,67.9
5,Tampa Bay,67.9
6,Carolina,67.3
7,Dallas,66.8
8,LA Rams,65.9
9,Cincinnati,65.6
10,Buffalo,64.6
11,Seattle,64.6
12,Houston,64.4
13,Miami,63.9
14,Detroit,63.8
15,Chicago,63.8
15,Jacksonville,63.8
17,Indianapolis,63.5
18,NY Giants,63.3
19,Green Bay,63.2
20,New Orleans,62.6
21,Arizona,62.5
22,San Francisco,62.4
23,LA Chargers,62.3
24,Las Vegas,61.8
25,Kansas City,61.7
26,Cleveland,60.8
27,Minnesota,60.5
28,NY Jets,59.8
29,Denver,59.6
30,Tennessee,58.8
31,Pittsburgh,58.6
32,Washington,55.3
