Rank,Team,2019 3rd-quarter-points-per-game
1,New Orleans,7.6
2,San Francisco,7.3
3,Chicago,6.8
4,Tennessee,6.5
5,Philadelphia,6.5
6,Green Bay,6.4
7,New England,6.3
8,Baltimore,6.2
9,Kansas City,6.1
10,Houston,5.9
11,Seattle,5.8
12,LA Rams,5.8
13,NY Giants,5.7
14,Pittsburgh,5.6
15,Dallas,5.5
16,Carolina,5.2
17,Indianapolis,5.0
18,Minnesota,4.5
19,Tampa Bay,4.4
20,LA Chargers,4.3
21,Arizona,4.2
22,Jacksonville,4.1
23,Atlanta,4.0
24,Cleveland,3.8
25,Detroit,3.6
26,Buffalo,3.4
27,NY Jets,3.4
28,Denver,3.3
29,Miami,3.1
30,Washington,3.0
31,Cincinnati,2.3
32,Las Vegas,1.7
