Rank,Team,2019 opponent-completions-per-game
1,New England,18.4
2,Baltimore,19.2
3,Cincinnati,19.3
4,Green Bay,19.6
5,Pittsburgh,19.6
6,Cleveland,19.9
7,Jacksonville,20.4
8,LA Chargers,20.5
9,San Francisco,20.8
10,Las Vegas,21.1
11,Miami,21.5
12,Philadelphia,21.5
13,Buffalo,21.6
14,Carolina,21.7
15,Denver,21.8
15,LA Rams,21.8
17,Atlanta,21.9
18,Kansas City,22.4
19,Chicago,22.6
20,NY Jets,22.7
21,New Orleans,22.9
22,NY Giants,23.1
23,Dallas,23.1
24,Washington,23.2
25,Seattle,23.2
26,Houston,23.5
27,Detroit,23.8
28,Minnesota,24.0
29,Tennessee,24.2
30,Indianapolis,24.6
31,Tampa Bay,25.5
32,Arizona,26.3
