Rank,Team,2019 gross-yards-per-successful-punt
1,Washington,49.6
2,Arizona,47.7
3,LA Rams,47.4
4,Tennessee,47.3
5,LA Chargers,47.0
6,Jacksonville,46.8
7,Philadelphia,46.3
8,Baltimore,46.3
9,New Orleans,46.1
10,Cleveland,46.1
11,NY Giants,46.1
12,Carolina,46.0
13,Las Vegas,46.0
14,NY Jets,45.9
15,Minnesota,45.8
16,Pittsburgh,45.5
17,Houston,45.4
18,Detroit,45.3
19,Seattle,45.3
20,Cincinnati,45.3
21,Miami,45.0
22,New England,45.0
23,Chicago,44.8
24,San Francisco,44.7
25,Denver,44.4
26,Indianapolis,44.4
27,Kansas City,44.1
28,Green Bay,43.9
29,Tampa Bay,43.2
30,Atlanta,42.5
31,Buffalo,42.1
32,Dallas,41.6
