Rank,Team,2019 opponent-rushing-first-downs-per-game
1,Tampa Bay,4.4
2,NY Jets,4.7
3,New Orleans,4.7
3,Philadelphia,4.7
5,Baltimore,4.9
6,New England,5.0
7,Minnesota,5.3
8,Chicago,5.4
9,Las Vegas,5.7
10,Buffalo,5.8
11,Indianapolis,5.8
12,Detroit,5.9
12,Arizona,5.9
14,Denver,6.0
15,Seattle,6.2
16,NY Giants,6.3
16,LA Rams,6.3
18,Dallas,6.3
18,LA Chargers,6.3
20,San Francisco,6.4
20,Tennessee,6.4
22,Houston,6.5
23,Green Bay,6.7
24,Atlanta,6.8
25,Pittsburgh,6.9
26,Kansas City,6.9
27,Miami,7.1
28,Jacksonville,7.1
29,Washington,7.5
30,Cleveland,7.8
30,Cincinnati,7.8
32,Carolina,8.0
