Rank,Team,2019 qb-sacked-pct
1,LA Rams,3.36%
2,Dallas,3.71%
3,New England,4.09%
4,New Orleans,4.35%
5,Kansas City,4.44%
6,Las Vegas,5.25%
7,LA Chargers,5.39%
8,Indianapolis,5.87%
9,Pittsburgh,5.90%
10,Baltimore,6.03%
11,Green Bay,6.03%
12,Philadelphia,6.42%
13,Minnesota,6.57%
14,NY Giants,6.62%
15,Jacksonville,6.66%
16,Atlanta,6.81%
17,Tampa Bay,6.94%
18,San Francisco,6.94%
19,Detroit,7.00%
20,Cleveland,7.07%
21,Buffalo,7.12%
22,Chicago,7.20%
23,Cincinnati,7.23%
24,Denver,7.52%
25,Arizona,8.28%
26,Carolina,8.39%
27,Seattle,8.54%
28,Miami,8.62%
29,NY Jets,9.08%
30,Houston,9.08%
31,Washington,9.45%
32,Tennessee,10.66%
