Rank,Team,2019 overtime-points-per-game
1,Seattle,0.5
2,Atlanta,0.4
2,LA Chargers,0.4
2,NY Giants,0.4
5,Philadelphia,0.4
6,Minnesota,0.3
7,Detroit,0.2
7,Miami,0.2
7,Arizona,0.2
10,Baltimore,0.2
11,Houston,0.2
12,Dallas,0.0
12,Washington,0.0
12,Pittsburgh,0.0
12,New Orleans,0.0
12,Las Vegas,0.0
12,Chicago,0.0
12,Jacksonville,0.0
12,San Francisco,0.0
12,NY Jets,0.0
12,Tennessee,0.0
12,Cleveland,0.0
12,Tampa Bay,0.0
12,New England,0.0
12,Kansas City,0.0
12,Denver,0.0
12,Buffalo,0.0
12,Carolina,0.0
12,LA Rams,0.0
12,Green Bay,0.0
12,Cincinnati,0.0
12,Indianapolis,0.0
