Rank,Team,2019 kicking-points-per-game
1,New Orleans,8.9
2,San Francisco,8.9
3,Kansas City,8.8
4,Baltimore,8.6
5,Dallas,8.5
6,Arizona,7.9
7,Atlanta,7.8
8,Tampa Bay,7.8
9,New England,7.5
10,Minnesota,7.4
11,Jacksonville,7.4
12,Pittsburgh,7.2
13,LA Rams,7.1
14,Detroit,7.1
14,LA Chargers,7.1
16,Denver,7.0
17,Carolina,6.6
18,Seattle,6.6
19,Cleveland,6.6
19,Cincinnati,6.6
21,Philadelphia,6.5
22,Buffalo,6.4
23,Houston,6.3
24,Green Bay,6.2
25,Indianapolis,6.2
26,Miami,6.1
27,Washington,6.0
27,Chicago,6.0
29,Las Vegas,5.7
30,NY Jets,5.0
31,Tennessee,4.5
32,NY Giants,4.4
