Rank,Team,2019 penalty-yards-per-game
1,Indianapolis,41.9
2,Carolina,47.1
3,Green Bay,47.2
4,Cincinnati,47.6
5,Miami,48.1
6,NY Giants,49.0
7,New England,50.4
8,Philadelphia,51.8
9,Minnesota,52.0
10,Washington,52.2
11,Chicago,52.4
12,Baltimore,54.3
13,San Francisco,54.3
14,LA Chargers,54.5
15,Houston,55.5
16,Pittsburgh,55.8
17,Tennessee,55.9
18,LA Rams,56.2
19,Denver,57.0
20,Seattle,57.9
21,Buffalo,58.3
22,Detroit,58.6
23,Atlanta,59.8
23,Arizona,59.8
25,Kansas City,60.6
26,Dallas,63.0
27,New Orleans,64.0
28,NY Jets,69.1
29,Cleveland,69.1
30,Tampa Bay,69.4
31,Las Vegas,71.1
32,Jacksonville,72.8
