Rank,Team,2019 pass-attempts-per-game
1,Atlanta,42.8
2,Carolina,39.6
3,LA Rams,39.5
4,Tampa Bay,39.4
5,New England,38.6
6,Cincinnati,38.5
7,Miami,38.4
8,NY Giants,37.9
9,Philadelphia,37.7
10,Dallas,37.3
10,LA Chargers,37.3
12,Jacksonville,36.8
13,Chicago,36.3
14,Kansas City,36.2
15,New Orleans,36.2
16,Detroit,35.7
17,Green Bay,35.5
18,Arizona,34.6
19,Houston,33.9
20,Cleveland,33.7
21,Buffalo,33.0
22,Las Vegas,32.7
23,NY Jets,32.6
24,Seattle,32.1
25,Indianapolis,32.1
26,Pittsburgh,31.9
27,Denver,31.5
28,Washington,29.9
29,Baltimore,29.4
30,Minnesota,29.2
31,San Francisco,28.2
32,Tennessee,26.9
