Rank,Team,2019 opponent-fumbles-per-game
1,Pittsburgh,2.1
2,San Francisco,2.0
3,NY Jets,1.8
4,Tampa Bay,1.7
5,New England,1.6
6,Seattle,1.6
7,Buffalo,1.5
8,Washington,1.4
8,Detroit,1.4
8,Arizona,1.4
8,LA Rams,1.4
12,Atlanta,1.4
13,Minnesota,1.3
14,Jacksonville,1.3
15,Baltimore,1.3
16,Philadelphia,1.2
17,Kansas City,1.2
18,Dallas,1.2
19,Houston,1.1
20,Miami,1.1
20,Cleveland,1.1
22,Green Bay,1.1
23,Tennessee,1.1
24,Denver,1.0
24,Carolina,1.0
24,LA Chargers,1.0
24,Indianapolis,1.0
28,New Orleans,0.9
29,Las Vegas,0.9
29,Chicago,0.9
31,NY Giants,0.9
32,Cincinnati,0.7
