Rank,Team,2019 points-per-game
1,Baltimore,31.9
2,Kansas City,29.9
3,San Francisco,29.6
4,Tampa Bay,28.6
5,New Orleans,28.1
6,Dallas,27.1
7,New England,25.5
8,Tennessee,24.9
9,Seattle,24.7
10,LA Rams,24.6
11,Minnesota,24.6
12,Houston,23.9
13,Atlanta,23.8
14,Green Bay,23.6
15,Philadelphia,23.2
16,Arizona,22.6
16,Indianapolis,22.6
18,Detroit,21.3
18,NY Giants,21.3
20,Carolina,21.3
21,LA Chargers,21.1
22,Cleveland,20.9
23,Buffalo,19.6
24,Las Vegas,19.6
25,Miami,19.1
26,Jacksonville,18.8
27,Pittsburgh,18.1
28,Denver,17.6
29,Chicago,17.5
30,Cincinnati,17.4
31,NY Jets,17.3
32,Washington,16.6
