Rank,Team,2019 fumbles-per-game
1,Arizona,0.6
2,New Orleans,0.6
3,Detroit,0.8
4,Chicago,0.8
5,Cleveland,0.9
6,New England,0.9
7,Dallas,0.9
8,Green Bay,1.0
9,LA Rams,1.1
10,San Francisco,1.1
11,Baltimore,1.1
12,Indianapolis,1.1
13,Tennessee,1.2
14,Atlanta,1.3
14,Washington,1.3
14,Las Vegas,1.3
14,Jacksonville,1.3
14,NY Jets,1.3
14,Denver,1.3
14,LA Chargers,1.3
21,Houston,1.3
22,Kansas City,1.4
23,Tampa Bay,1.4
24,Buffalo,1.5
25,Seattle,1.6
26,Miami,1.6
26,Carolina,1.6
26,Cincinnati,1.6
29,Pittsburgh,1.9
30,Minnesota,1.9
31,NY Giants,1.9
32,Philadelphia,2.0
