Rank,Team,2019 red-zone-scores-per-game
1,Baltimore,2.6
2,LA Rams,2.4
3,Seattle,2.3
4,Indianapolis,2.3
5,Tampa Bay,2.2
6,Tennessee,2.2
7,Philadelphia,2.1
8,Green Bay,2.1
9,San Francisco,2.1
10,New Orleans,2.1
11,Houston,2.1
11,Minnesota,2.1
13,Kansas City,2.1
14,Dallas,1.9
14,Atlanta,1.9
16,New England,1.8
17,Cleveland,1.8
17,Carolina,1.8
19,Las Vegas,1.8
19,LA Chargers,1.8
21,Miami,1.7
22,Detroit,1.6
23,Buffalo,1.5
24,Chicago,1.5
24,Arizona,1.5
24,NY Giants,1.5
27,Cincinnati,1.3
28,Washington,1.3
28,Denver,1.3
30,Jacksonville,1.2
31,NY Jets,1.1
32,Pittsburgh,0.9
