Rank,Team,2019 passing-play-pct
1,Atlanta,66.97%
2,Miami,65.85%
3,NY Giants,64.23%
4,Carolina,64.16%
5,Cincinnati,63.30%
6,LA Chargers,63.29%
7,Tampa Bay,62.34%
8,LA Rams,61.99%
9,Jacksonville,61.86%
10,Kansas City,61.43%
11,Chicago,61.27%
12,Arizona,60.40%
13,New Orleans,60.38%
14,Detroit,60.14%
15,NY Jets,59.94%
16,Green Bay,59.81%
17,Washington,59.77%
18,Cleveland,59.61%
19,New England,59.36%
20,Philadelphia,58.80%
21,Dallas,58.00%
22,Houston,57.93%
23,Pittsburgh,57.84%
24,Denver,57.13%
25,Las Vegas,55.81%
26,Buffalo,54.96%
27,Seattle,54.34%
28,Indianapolis,53.64%
29,Minnesota,51.70%
30,Tennessee,51.21%
31,San Francisco,48.61%
32,Baltimore,45.93%
