Rank,Team,2019 opponent-third-downs-per-game
1,Seattle,11.7
2,Las Vegas,11.9
2,Jacksonville,11.9
4,San Francisco,11.9
5,Green Bay,12.0
6,Atlanta,12.1
6,Carolina,12.1
8,Miami,12.1
9,New England,12.2
9,Baltimore,12.2
11,Cleveland,12.2
11,LA Chargers,12.2
13,Kansas City,12.4
14,Indianapolis,12.4
15,Dallas,12.6
16,Houston,12.8
17,Tennessee,12.9
18,Philadelphia,12.9
19,Pittsburgh,13.1
19,Chicago,13.1
19,Cincinnati,13.1
22,Minnesota,13.2
23,Denver,13.2
24,Buffalo,13.2
25,Detroit,13.4
25,Arizona,13.4
27,New Orleans,13.4
28,NY Giants,13.5
29,Tampa Bay,13.6
29,LA Rams,13.6
31,NY Jets,14.1
32,Washington,14.2
