Rank,Team,2019 opponent-passing-yards-per-game
1,New England,173.9
2,San Francisco,178.8
3,Pittsburgh,194.6
4,Buffalo,196.6
5,Baltimore,199.9
6,LA Chargers,200.3
7,Cleveland,216.9
8,Chicago,222.1
9,Dallas,223.5
10,Green Bay,225.3
11,Denver,225.6
12,LA Rams,226.6
13,Kansas City,226.9
14,Minnesota,227.0
15,Carolina,231.0
16,Jacksonville,236.1
17,NY Jets,236.2
18,Washington,238.9
19,New Orleans,240.8
20,Cincinnati,244.8
21,Atlanta,244.9
22,Philadelphia,246.1
23,Indianapolis,248.9
24,Seattle,256.7
25,Las Vegas,256.7
26,Tennessee,259.3
27,Miami,262.4
28,NY Giants,264.1
29,Houston,269.2
30,Tampa Bay,270.1
31,Arizona,281.9
32,Detroit,284.4
