Rank,Team,2019 opponent-touchdowns-per-game
1,New England,1.6
2,Buffalo,1.9
3,Denver,1.9
4,Baltimore,1.9
5,Pittsburgh,2.0
5,Minnesota,2.0
7,Chicago,2.1
8,Dallas,2.2
9,Green Bay,2.3
10,San Francisco,2.4
10,Kansas City,2.4
12,Tennessee,2.4
13,NY Jets,2.4
14,LA Chargers,2.5
15,New Orleans,2.5
15,Philadelphia,2.5
17,Indianapolis,2.6
18,LA Rams,2.6
19,Atlanta,2.8
20,Seattle,2.8
21,Cleveland,2.9
22,Jacksonville,2.9
22,Cincinnati,2.9
24,Houston,3.0
24,Tampa Bay,3.0
26,Detroit,3.1
27,Las Vegas,3.2
28,Washington,3.3
28,Arizona,3.3
30,NY Giants,3.4
31,Carolina,3.5
32,Miami,3.6
