Rank,Team,2019 rushing-yards-per-game
1,Baltimore,204.8
2,San Francisco,153.5
3,Tennessee,143.5
4,Dallas,134.6
5,Indianapolis,133.1
6,Seattle,131.9
7,Buffalo,130.9
8,Minnesota,127.2
9,Houston,124.7
10,Arizona,124.4
11,Philadelphia,121.1
12,Cleveland,118.8
13,Las Vegas,118.3
14,Carolina,113.7
15,Green Bay,109.2
16,New Orleans,107.9
17,Jacksonville,106.8
18,New England,105.9
19,NY Giants,105.3
20,Denver,103.9
21,Detroit,103.1
22,Kansas City,101.5
23,Washington,98.9
24,Tampa Bay,95.1
25,Cincinnati,94.8
26,LA Rams,93.7
27,Chicago,91.1
28,LA Chargers,90.8
29,Pittsburgh,90.4
30,Atlanta,85.1
31,NY Jets,78.6
32,Miami,72.3
