Rank,Team,2019 opponent-extra-point-attempts-per-game
1,Buffalo,1.5
2,New England,1.6
3,Baltimore,1.6
4,Denver,1.7
5,Minnesota,1.8
6,Chicago,1.8
7,Kansas City,1.9
8,Dallas,1.9
8,Pittsburgh,1.9
10,San Francisco,1.9
11,Green Bay,2.1
12,NY Jets,2.1
13,Tennessee,2.2
14,New Orleans,2.2
15,Philadelphia,2.3
16,Seattle,2.3
17,LA Chargers,2.4
17,Indianapolis,2.4
19,Tampa Bay,2.4
20,Atlanta,2.6
20,LA Rams,2.6
22,Cleveland,2.8
23,Jacksonville,2.8
23,Cincinnati,2.8
25,Houston,2.8
26,Detroit,2.9
27,Washington,3.0
28,Arizona,3.1
28,Carolina,3.1
30,Las Vegas,3.2
31,Miami,3.3
32,NY Giants,3.3
